nii,mean,median,mode,median_low,median_high,median_grouped,1,3
./res_dicom2nifti/114/1.2.826.0.1.3680043.8.498.16324370682465774490172927216763431079/1.2.826.0.1.3680043.8.498.74569018180707397043645420108420030523.nii,-566.8681190127418,-917.0,-1024.0,-917.0,-917.0,-917.0040650406504,-997.0,-77.0
./res_dicom2nifti/114/1.2.826.0.1.3680043.8.498.16324370682465774490172927216763431079/1.2.826.0.1.3680043.8.498.23458218988854690413408742484083164414.nii,-565.9516029963418,-914.0,-1024.0,-914.0,-914.0,-914.2828920570265,-995.0,-74.0
./res_dicom2nifti/115/1.2.826.0.1.3680043.8.498.62717788801057195224446636629115577965/1.2.826.0.1.3680043.8.498.11482877167385284508053194620677447255.nii,-653.0115810487329,-933.0,-999.0,-933.0,-933.0,-933.207957764615,-990.0,-77.0
./res_dicom2nifti/116/1.2.826.0.1.3680043.8.498.10195241430858294020595008731317181792/1.2.826.0.1.3680043.8.498.40717566467936174800084221473301865883.nii,-560.2896926235145,-878.0,-1000.0,-878.0,-878.0,-877.6019607843137,-989.0,-85.0
./res_dicom2nifti/117/1.2.826.0.1.3680043.8.498.11916068918215689392937760998511058961/1.2.826.0.1.3680043.8.498.25799817583137688022106289937774960086.nii,-527.837719066723,-862.0,-1024.0,-862.0,-862.0,-862.481684981685,-993.0,-70.0
./res_dicom2nifti/118/1.2.826.0.1.3680043.8.498.69071668171791829529815494850526202111/1.2.826.0.1.3680043.8.498.28363582963689005839166974805923338134.nii,-309.22347054830414,-103.0,-107.0,-103.0,-103.0,-102.92835771276596,-875.0,2.0
./res_dicom2nifti/119/1.2.826.0.1.3680043.8.498.71094225320401667350568405917000452830/1.2.826.0.1.3680043.8.498.67835498038971741618285259860364598722.nii,-429.5858653675426,-127.0,-1024.0,-127.0,-127.0,-127.31217934418916,-952.0,-52.0
./res_dicom2nifti/12/1.2.826.0.1.3680043.8.498.28815030444572475382357498744617451294/1.2.826.0.1.3680043.8.498.48418300735292984794094954221090759335.nii,-598.2172998635166,-928.0,-1024.0,-928.0,-928.0,-927.6060836501902,-996.0,-32.0
./res_dicom2nifti/120/1.2.826.0.1.3680043.8.498.13184289044648108975249241776901590618/1.2.826.0.1.3680043.8.498.78210125537331686427809451987471983649.nii,-532.7310747419085,-823.0,-1000.0,-823.0,-823.0,-823.4444444444445,-996.0,6.0
./res_dicom2nifti/121/1.2.826.0.1.3680043.8.498.12707904644166090446861012949832767097/1.2.826.0.1.3680043.8.498.71506225968817674066307275789420467781.nii,-442.3569883688902,-134.0,-1000.0,-134.0,-134.0,-134.486301369863,-973.0,-15.0
./res_dicom2nifti/122/1.2.826.0.1.3680043.8.498.94624398541721153260703465306501876352/1.2.826.0.1.3680043.8.498.65343607147576027611919719765724520526.nii,-425.5211971507353,-117.0,-1000.0,-117.0,-117.0,-116.50546780072904,-993.0,27.0
./res_dicom2nifti/123/1.2.826.0.1.3680043.8.498.85230312221554299879413628853522589956/1.2.826.0.1.3680043.8.498.58159937187724224088727690385042417646.nii,-464.470206311954,-151.0,-1024.0,-151.0,-151.0,-151.31048689138578,-987.0,-52.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.16291457764115733532967159176851884466/1.2.826.0.1.3680043.8.498.87803927052728833538890210522442655798.nii,-519.4052595658736,-782.0,-1024.0,-782.0,-782.0,-782.3558558558559,-992.0,-83.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.16291457764115733532967159176851884466/1.2.826.0.1.3680043.8.498.94974813332815218860835903544959802629.nii,-518.3202533428486,-778.0,-1024.0,-778.0,-778.0,-777.6103202846975,-988.0,-77.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.93420086948337938930273650674871601712/1.2.826.0.1.3680043.8.498.12827720747674211422831890148588075406.nii,-537.6117474955897,-858.0,-1024.0,-858.0,-858.0,-858.4611992945327,-994.0,-84.0
./res_dicom2nifti/124/1.2.826.0.1.3680043.8.498.93420086948337938930273650674871601712/1.2.826.0.1.3680043.8.498.11103780371944690510652344484312671844.nii,-538.2876383463541,-856.0,-1024.0,-856.0,-856.0,-855.859756097561,-997.0,-89.0
./res_dicom2nifti/125/1.2.826.0.1.3680043.8.498.44411464439444333672322856720180085992/1.2.826.0.1.3680043.8.498.20402545064089760128796830375791106057.nii,-539.4595912586559,-818.0,-998.0,-818.0,-818.0,-818.2304469273743,-987.0,-31.0
./res_dicom2nifti/125/1.2.826.0.1.3680043.8.498.54097458767634842638567396884881968740/1.2.826.0.1.3680043.8.498.26515724524044796188205967137016268603.nii,-535.2830014112519,-841.0,-999.0,-841.0,-841.0,-841.2616136919315,-992.0,-26.0
./res_dicom2nifti/126/1.2.826.0.1.3680043.8.498.16235536750940946799959156285173492253/1.2.826.0.1.3680043.8.498.11985196524539087893185645556241693481.nii,-438.0435596812855,-118.0,-1024.0,-118.0,-118.0,-118.03984575835476,-988.0,20.0
./res_dicom2nifti/126/1.2.826.0.1.3680043.8.498.50645419857661912119069576207686786353/1.2.826.0.1.3680043.8.498.47777285068452142312900004778078827272.nii,-372.0260354746943,-99.0,-1024.0,-99.0,-99.0,-99.36119751166407,-944.0,29.0
./res_dicom2nifti/127/1.2.826.0.1.3680043.8.498.71483823509733879395719082803163062086/1.2.826.0.1.3680043.8.498.34939400562444359530529304264148906246.nii,-639.6620059543186,-992.0,-1024.0,-992.0,-992.0,-991.5200845665962,-1024.0,-91.0
./res_dicom2nifti/128/1.2.826.0.1.3680043.8.498.46842044745816431472123785906043869678/1.2.826.0.1.3680043.8.498.82309879059851420552758365607004915749.nii,-605.7091235351562,-938.0,-999.0,-938.0,-938.0,-937.9427112875779,-994.0,-45.0
./res_dicom2nifti/129/1.2.826.0.1.3680043.8.498.24470270158829308732959270460081126371/1.2.826.0.1.3680043.8.498.33350947892598760182863889343530129040.nii,-595.5152750651042,-878.0,-1024.0,-878.0,-878.0,-877.6990595611285,-998.0,-81.0
./res_dicom2nifti/13/1.2.826.0.1.3680043.8.498.43334737134058175338706972282483785305/1.2.826.0.1.3680043.8.498.11452454937972085628523203731630425938.nii,-497.7924180141715,-690.0,-1024.0,-690.0,-690.0,-689.6782178217821,-992.0,-4.0
./res_dicom2nifti/130/1.2.826.0.1.3680043.8.498.12269241185324628861793473066787475349/1.2.826.0.1.3680043.8.498.28992944540479331415923165378509448731.nii,-391.4724637545072,-114.0,-1024.0,-114.0,-114.0,-113.5830516658619,-943.0,-12.0
./res_dicom2nifti/130/1.2.826.0.1.3680043.8.498.48075633431343092806852438355137049749/1.2.826.0.1.3680043.8.498.73885314837863526007968986829325375852.nii,-425.1473117404514,-118.0,-1000.0,-118.0,-118.0,-117.85021097046413,-952.0,-12.0
./res_dicom2nifti/131/1.2.826.0.1.3680043.8.498.75014202930192730882204879977362136835/1.2.826.0.1.3680043.8.498.84788043350644213858169057903435937585.nii,-311.926533203125,-111.0,-116.0,-111.0,-111.0,-111.03179474588755,-847.0,8.0
./res_dicom2nifti/132/1.2.826.0.1.3680043.8.498.66880072793667319639100164065116837192/1.2.826.0.1.3680043.8.498.19623785861471962856000655246719834723.nii,-368.7353986909118,-108.0,-1024.0,-108.0,-108.0,-108.09987720016373,-911.0,9.0
./res_dicom2nifti/133/1.2.826.0.1.3680043.8.498.23240178091117504369118610510070739252/1.2.826.0.1.3680043.8.498.95672465352386790608025954354393529384.nii,-545.3170634944264,-838.0,-1024.0,-838.0,-838.0,-838.2196110210697,-995.0,-85.0
./res_dicom2nifti/134/1.2.826.0.1.3680043.8.498.18529077598132013158704286675658504172/1.2.826.0.1.3680043.8.498.11962496284797747358182322995994701929.nii,-543.0829791333302,-836.0,-1000.0,-836.0,-836.0,-836.138500635324,-985.0,-38.0
./res_dicom2nifti/135/1.2.826.0.1.3680043.8.498.67073677368481583411776177339826107126/1.2.826.0.1.3680043.8.498.84911583964865343562269852294233197239.nii,-418.0149911733774,-120.0,-1024.0,-120.0,-120.0,-119.66791323859387,-947.0,-50.0
./res_dicom2nifti/136/1.2.826.0.1.3680043.8.498.56580703855653971029639173127873524557/1.2.826.0.1.3680043.8.498.16682212175869444365279734842873195055.nii,-467.9428237915039,-132.0,-1024.0,-132.0,-132.0,-132.32926829268294,-993.0,-21.0
./res_dicom2nifti/137/1.2.826.0.1.3680043.8.498.29636203596928530049546724518591796469/1.2.826.0.1.3680043.8.498.16456472669103547327996531241349504846.nii,-463.07859342644014,-351.0,-1000.0,-351.0,-351.0,-350.8888888888889,-994.0,12.0
./res_dicom2nifti/138/1.2.826.0.1.3680043.8.498.26742654214440683583526887976488637057/1.2.826.0.1.3680043.8.498.78205720445877685262616026503257414428.nii,-481.2450375205592,-646.0,-1001.0,-646.0,-646.0,-646.2517730496454,-985.0,11.0
./res_dicom2nifti/138/1.2.826.0.1.3680043.8.498.50708065408868903646423338762010231481/1.2.826.0.1.3680043.8.498.24533802623230713965599400326162062077.nii,-584.8538424584174,-919.0,-1024.0,-919.0,-919.0,-918.5967523680649,-998.0,-23.0
./res_dicom2nifti/139/1.2.826.0.1.3680043.8.498.10275865430415578706337636247089046726/1.2.826.0.1.3680043.8.498.69416194757041538015068444672080743951.nii,-541.2017890844452,-839.0,-1024.0,-839.0,-839.0,-839.4468822170901,-993.0,-44.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.11165715194776944052027699264471002115/1.2.826.0.1.3680043.8.498.87904228732369434102879519424342846341.nii,-609.3745480492001,-949.0,-1024.0,-949.0,-949.0,-949.4928010471205,-1002.0,-61.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.21997455455255570864297318211355466564/1.2.826.0.1.3680043.8.498.74796245989706856045031760929574125691.nii,-550.168217585637,-874.0,-1024.0,-874.0,-874.0,-874.4992366412214,-993.0,-27.0
./res_dicom2nifti/14/1.2.826.0.1.3680043.8.498.62787557684059239571150737210484501261/1.2.826.0.1.3680043.8.498.12018795746994383773075225743892530586.nii,-537.6255331234056,-872.0,-1024.0,-872.0,-872.0,-871.8756906077348,-991.0,-27.0
./res_dicom2nifti/140/1.2.826.0.1.3680043.8.498.12054486274919103813153898672827157225/1.2.826.0.1.3680043.8.498.86989568888268211002336064575176955361.nii,-459.2754558216442,-124.0,-1024.0,-124.0,-124.0,-123.9853195164076,-987.0,-35.0
./res_dicom2nifti/141/1.2.826.0.1.3680043.8.498.92834151127945029251507202591387820743/1.2.826.0.1.3680043.8.498.12862411302525163177195757113501777171.nii,-417.78802541959084,-127.0,-1024.0,-127.0,-127.0,-126.86847323198943,-960.0,-49.0
./res_dicom2nifti/141/1.2.826.0.1.3680043.8.498.92834151127945029251507202591387820743/1.2.826.0.1.3680043.8.498.12570546254375804024912416309348720250.nii,-418.67323150634763,-120.0,-1024.0,-120.0,-120.0,-120.0790282902829,-958.0,-52.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12313105998077671598190725800730320376/1.2.826.0.1.3680043.8.498.11642005078366345348872430764344680140.nii,-590.8170559353299,-919.0,-1024.0,-919.0,-919.0,-918.89448441247,-986.0,-84.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12783600492099858102790348658804929609/1.2.826.0.1.3680043.8.498.59809668383872141508008188924607730225.nii,-538.660045030382,-843.0,-1024.0,-843.0,-843.0,-842.7060301507538,-995.0,-79.0
./res_dicom2nifti/142/1.2.826.0.1.3680043.8.498.12783600492099858102790348658804929609/1.2.826.0.1.3680043.8.498.64272016319191622369923123282001472049.nii,-537.5820157634678,-842.0,-1024.0,-842.0,-842.0,-841.5483592400691,-993.0,-76.0
./res_dicom2nifti/143/1.2.826.0.1.3680043.8.498.11991773318707045722858094258502978089/1.2.826.0.1.3680043.8.498.35515957684791036937575805444057130982.nii,-546.501482586528,-858.0,-1000.0,-858.0,-858.0,-857.6932707355243,-993.0,-17.0
./res_dicom2nifti/144/1.2.826.0.1.3680043.8.498.12485722576853437191919299040960094697/1.2.826.0.1.3680043.8.498.97946783973467906247952071990140092756.nii,-538.0805633921682,-829.0,-1024.0,-829.0,-829.0,-829.1324786324786,-998.0,-89.0
./res_dicom2nifti/145/1.2.826.0.1.3680043.8.498.72064884022986601260635968191121747545/1.2.826.0.1.3680043.8.498.84971226428438947653980260543104188263.nii,-614.1753359002582,-945.0,-1024.0,-945.0,-945.0,-945.4599056603773,-1003.0,-99.0
./res_dicom2nifti/145/1.2.826.0.1.3680043.8.498.72064884022986601260635968191121747545/1.2.826.0.1.3680043.8.498.12617696440894356160862169066997771972.nii,-614.7716049194336,-946.0,-1024.0,-946.0,-946.0,-945.6467661691543,-1002.0,-101.0
./res_dicom2nifti/146/1.2.826.0.1.3680043.8.498.65172135780982302622365809710432461816/1.2.826.0.1.3680043.8.498.96874593394210245840033611135547612366.nii,-637.0483249973606,-951.0,-1024.0,-951.0,-951.0,-951.1123675923275,-999.0,-101.0
./res_dicom2nifti/147/1.2.826.0.1.3680043.8.498.23942801737966726062963008675004851723/1.2.826.0.1.3680043.8.498.20775460461121227309484139822057155782.nii,-511.56829051482373,-830.0,-1024.0,-830.0,-830.0,-830.1573705179283,-980.0,8.0
./res_dicom2nifti/148/1.2.826.0.1.3680043.8.498.41689444348032966810789265111881017123/1.2.826.0.1.3680043.8.498.31145423485859481785209744794433964927.nii,-526.6844007703993,-761.0,-1024.0,-761.0,-761.0,-761.3737588652482,-995.0,0.0
./res_dicom2nifti/149/1.2.826.0.1.3680043.8.498.28240657926652655851426089891986490587/1.2.826.0.1.3680043.8.498.68356735019462456312248492348033964295.nii,-598.5246953854615,-909.0,-1000.0,-909.0,-909.0,-908.5786948176584,-994.0,-77.0
./res_dicom2nifti/15/1.2.826.0.1.3680043.8.498.12639348182361976978793927945876768402/1.2.826.0.1.3680043.8.498.32444615115724912272525780762979177513.nii,-465.7328821518842,-489.0,-1024.0,-489.0,-489.0,-489.38695652173914,-981.0,9.0
./res_dicom2nifti/150/1.2.826.0.1.3680043.8.498.75487999726291723699577817331173137147/1.2.826.0.1.3680043.8.498.11715430308541695817805508853770856060.nii,-360.69849264210666,-116.0,-1024.0,-116.0,-116.0,-115.97047093112441,-904.0,-44.0
./res_dicom2nifti/151/1.2.826.0.1.3680043.8.498.92283595883007005891540328837498983149/1.2.826.0.1.3680043.8.498.10289764125192162822614300897245797425.nii,-636.554423939098,-970.0,-1024.0,-970.0,-970.0,-970.2053394858273,-1001.0,-84.0
./res_dicom2nifti/152/1.2.826.0.1.3680043.8.498.60111581716357858738565031495378936998/1.2.826.0.1.3680043.8.498.10338924211113300936115517460369329728.nii,-507.33481056102806,-792.0,-1000.0,-792.0,-792.0,-791.8747276688454,-987.0,14.0
./res_dicom2nifti/153/1.2.826.0.1.3680043.8.498.13033940530851208671380349705570350775/1.2.826.0.1.3680043.8.498.80327923098944383325875072123516661507.nii,-496.17354642427887,-446.0,-1000.0,-446.0,-446.0,-445.7413793103448,-994.0,-72.0
./res_dicom2nifti/154/1.2.826.0.1.3680043.8.498.57432499712545577609659070344868985501/1.2.826.0.1.3680043.8.498.12226033470515861343918849616785811379.nii,-497.51383258224627,-203.0,-1024.0,-203.0,-203.0,-203.375,-996.0,-76.0
./res_dicom2nifti/154/1.2.826.0.1.3680043.8.498.57432499712545577609659070344868985501/1.2.826.0.1.3680043.8.498.10381543483048644144359620757767031270.nii,-498.69234982052365,-240.0,-1024.0,-240.0,-240.0,-239.55555555555554,-997.0,-82.0
./res_dicom2nifti/155/1.2.826.0.1.3680043.8.498.75624695078825215229382826580840118017/1.2.826.0.1.3680043.8.498.57051175717339222251559374622089039462.nii,-535.7547763558322,-879.0,-999.0,-879.0,-879.0,-878.5742574257425,-994.0,-69.0
./res_dicom2nifti/156/1.2.826.0.1.3680043.8.498.62826763358350884575069353021207918287/1.2.826.0.1.3680043.8.498.99150640850236777482487987861644229268.nii,-468.8284145386751,-141.0,-1024.0,-141.0,-141.0,-141.3421727972626,-993.0,-42.0
./res_dicom2nifti/156/1.2.826.0.1.3680043.8.498.62826763358350884575069353021207918287/1.2.826.0.1.3680043.8.498.11179631632061973219328946299762542470.nii,-470.4890077172256,-129.0,-1024.0,-129.0,-129.0,-128.95186640471513,-995.0,-45.0
./res_dicom2nifti/157/1.2.826.0.1.3680043.8.498.13551221792388518310143795629647399618/1.2.826.0.1.3680043.8.498.57471362033226833234553497229670576843.nii,-461.20586022665333,-332.0,-1000.0,-332.0,-332.0,-332.3493150684931,-962.0,-6.0
./res_dicom2nifti/158/1.2.826.0.1.3680043.8.498.12877948938574729697722249608874245026/1.2.826.0.1.3680043.8.498.11497671349191251695237623015600782540.nii,-396.56846981956846,-123.0,-1002.0,-123.0,-123.0,-123.27564364527993,-960.0,-48.0
./res_dicom2nifti/159/1.2.826.0.1.3680043.8.498.15446672875842498796289453108587845530/1.2.826.0.1.3680043.8.498.14887136940047792883385489075274075840.nii,-550.6804696016534,-882.0,-1024.0,-882.0,-882.0,-882.3308823529412,-1002.0,-64.0
./res_dicom2nifti/16/1.2.826.0.1.3680043.8.498.91086920972257165434195854721527508978/1.2.826.0.1.3680043.8.498.11612320679938345228202139280505964553.nii,-698.7111145019531,-995.0,-1024.0,-995.0,-995.0,-995.0728825881498,-1024.0,-112.0
./res_dicom2nifti/160/1.2.826.0.1.3680043.8.498.11621055929909453529431676437752786717/1.2.826.0.1.3680043.8.498.25773195063978937185670982852656262443.nii,-572.3672355883049,-892.0,-1001.0,-892.0,-892.0,-891.9588235294118,-994.0,-73.0
./res_dicom2nifti/161/1.2.826.0.1.3680043.8.498.12608996706114339276338397259383369459/1.2.826.0.1.3680043.8.498.42955265238418819225254081506425059386.nii,-499.5868508731618,-616.0,-1024.0,-616.0,-616.0,-615.986301369863,-993.0,-29.0
./res_dicom2nifti/162/1.2.826.0.1.3680043.8.498.10345132138238005449735131997529169976/1.2.826.0.1.3680043.8.498.95889712968238615938191779330012674551.nii,-559.5678373064313,-937.0,-1024.0,-937.0,-937.0,-937.180196801968,-1024.0,-52.0
./res_dicom2nifti/163/1.2.826.0.1.3680043.8.498.55807341187205381975310577049218719173/1.2.826.0.1.3680043.8.498.11802122670978820955322450699879629714.nii,-533.631676924856,-869.0,-1000.0,-869.0,-869.0,-869.2572254335261,-992.0,-26.0
./res_dicom2nifti/163/1.2.826.0.1.3680043.8.498.55807341187205381975310577049218719173/1.2.826.0.1.3680043.8.498.71488312550877418989407383781141274117.nii,-534.0655442622669,-868.0,-1000.0,-868.0,-868.0,-867.8677725118483,-988.0,-26.0
./res_dicom2nifti/164/1.2.826.0.1.3680043.8.498.83668304744821146372612243988505789311/1.2.826.0.1.3680043.8.498.10897816024686723644087483987717340597.nii,-522.2786953477975,-790.0,-1024.0,-790.0,-790.0,-790.0505050505051,-988.0,-14.0
./res_dicom2nifti/165/1.2.826.0.1.3680043.8.498.42372446120818505805282897338064441147/1.2.826.0.1.3680043.8.498.74900437463434558282193485699928713737.nii,-593.2713534037272,-923.0,-999.0,-923.0,-923.0,-923.1374116772034,-994.0,11.0
./res_dicom2nifti/166/1.2.826.0.1.3680043.8.498.68403643677012014225376892955334445064/1.2.826.0.1.3680043.8.498.93410378614932041929594020695121606604.nii,-565.6649254432091,-887.0,-1000.0,-887.0,-887.0,-887.3412073490814,-984.0,-69.0
./res_dicom2nifti/167/1.2.826.0.1.3680043.8.498.32049690104156922971217842051036988652/1.2.826.0.1.3680043.8.498.86999802200324663120664641765231836225.nii,-534.9357938946418,-878.0,-1024.0,-878.0,-878.0,-877.7085004009623,-985.0,-63.0
./res_dicom2nifti/168/1.2.826.0.1.3680043.8.498.62213492865902826150105200385219287763/1.2.826.0.1.3680043.8.498.59439130504718797733658836257897043136.nii,-608.3910485092474,-952.0,-1024.0,-952.0,-952.0,-951.7351219512195,-1000.0,-108.0
./res_dicom2nifti/169/1.2.826.0.1.3680043.8.498.96572914182686052313160780794695849734/1.2.826.0.1.3680043.8.498.20506196073143675611359798629353432815.nii,-431.8282798208841,-99.0,-998.0,-99.0,-99.0,-99.46206896551725,-983.0,34.0
./res_dicom2nifti/17/1.2.826.0.1.3680043.8.498.65288850681892123941311820950578465446/1.2.826.0.1.3680043.8.498.93738233174427325679092259532961256850.nii,-447.53611821713656,-134.0,-1024.0,-134.0,-134.0,-134.34573502722324,-994.0,-11.0
./res_dicom2nifti/170/1.2.826.0.1.3680043.8.498.11822591276347023863974417581731975324/1.2.826.0.1.3680043.8.498.12872371382747240773237355561192375565.nii,-555.493278503418,-862.0,-1024.0,-862.0,-862.0,-862.2655109489051,-994.0,-22.0
./res_dicom2nifti/171/1.2.826.0.1.3680043.8.498.97845039880421786879736975272263307833/1.2.826.0.1.3680043.8.498.71211939294129340011327209702514853449.nii,-559.8330325292162,-912.0,-1024.0,-912.0,-912.0,-911.7977551884794,-992.0,-78.0
./res_dicom2nifti/171/1.2.826.0.1.3680043.8.498.97845039880421786879736975272263307833/1.2.826.0.1.3680043.8.498.23726172323525261393488183078877538646.nii,-561.4157580864139,-913.0,-1000.0,-913.0,-913.0,-913.1559691912709,-995.0,-83.0
./res_dicom2nifti/172/1.2.826.0.1.3680043.8.498.89837182927654273943613034763893882250/1.2.826.0.1.3680043.8.498.41759765762721948408531720452318237968.nii,-416.98018235426684,-123.0,-1024.0,-123.0,-123.0,-123.3324,-957.0,-43.0
./res_dicom2nifti/173/1.2.826.0.1.3680043.8.498.11437884898819456561211167727784161545/1.2.826.0.1.3680043.8.498.64788859847439928406564183379498025731.nii,-481.77533951425943,-257.0,-1024.0,-257.0,-257.0,-257.3189655172414,-994.0,-34.0
